Genus,2_4_May_B,2_6_Feb_B,2_6_May_A,3_1_Feb_A,3_1_May_A,3_2_Feb_A,3_2_May_A,3_3_Feb_A,3_3_May_A,3_4_Feb_A,3_4_May_A,3_5_Feb_A,3_5_May_A,3_6_Feb_A,3_6_May_A,4_1_Apr_B,4_2_Apr_B,4_2_Jan_A,4_3_Apr_B,4_3_Jan_A,4_4_Apr_B,4_4_Jan_A,4_5_Apr_B,4_5_Jan_A,4_6_Apr_B,4_6_Jan_A,5_1_Jan_A,5_2_Apr_A,5_2_Jan_A,5_3_Apr_A,5_3_Jan_A,5_4_Apr_A,5_4_Jan_A,5_5_Apr_B,5_5_Jan_A,5_6_Apr_B,5_6_Jan_A,6_1_May_A,8_7_May_A,8_8_May_A,9_1_Apr_A,9_1_Jan_A,9_2_Apr_A,9_2_Jan_A,9_3_Apr_A,9_3_Jan_A,6_2_May_A,6_6_Feb_A,6_6_May_B,7_1_Feb_A,7_1_May_B,7_2_Feb_B,7_2_May_A,7_3_Feb_A,7_3_May_B,7_4_Feb_B,7_4_May_B,7_5_Feb_A,7_5_May_A,7_6_May_B,8_1_Feb_A,8_2_Feb_A,8_2_May_A,8_3_Feb_A,8_3_May_A,8_4_Feb_A,8_4_May_A,8_5_Feb_B,8_5_May_A,8_6_May_A,8_7_Feb_B
SM1A02,0,0,0,31,0,16,2,3,1,20,2,0,0,14,0,2,0,2,1,0,0,1,6,0,1,0,5,0,4,0,1,3,1,1,7,0,0,0,0,4,32,26,30,19,0,0,0,1,1,30,41,21,83,75,69,107,182,0,1,0,0,47,13,66,3,20,14,272,25,31,1
Sphingobium,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,2,1,263,317,236,317,0,0,10,0,0,23,5,3,0,0,1,1,4,1,0,0,0,0,0,18,0,0,0,0,50,86,5
Sphingomonas,328,1,695,634,266,216,507,0,528,331,158,2,32,284,5,0,6,5,12,44,10,16,2,0,1,75,47,29,89,6,17,8,63,133,86,0,4,102,0,3,129,78,134,82,4,0,7,0,0,128,194,92,502,511,726,498,1291,1,0,0,1,50,16,299,12,46,56,36,103,5,50
Sphingopyxis,9,0,0,82,152,5,724,0,13,1,34,0,21,0,0,0,115,6,12,77,25,3,0,3,0,0,14,0,0,0,9,0,0,0,0,4,12,3,0,0,40,74,21,72,0,0,0,0,0,0,1,3,0,10,4,5,8,0,0,25,0,0,0,181,1,0,1,0,0,1080,3
Sphingorhabdus,20,41,14,8,1,0,0,1,0,0,0,0,1,0,13,59,27,150,92,45,53,211,51,220,73,32,0,0,0,0,0,0,0,0,0,0,1,0,69,2,0,0,0,0,1,1,0,6,4,0,0,8,0,0,0,2,2,8,4,0,0,14,47,37,1076,270,758,0,5,0,15
Sulfuricella,0,0,0,9,0,5,0,1,38,7,0,0,0,12,0,2,9,17,113,187,59,71,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,1,9,2,73,4260,0,0,98,16,26,38,124,40,75,41,0,0,0,0,12,0,22,1,2,7,0,0,0,0
Sulfuricurvum,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,10,5,75,44,5,33,0,1,0,26,1,0,10,89,13,0,8,0,6,482,0,0,0,0,349,697,430,773,4242,1912,0,0,0,0,0,5,1,0,0,0,0,0,0,1347,3,0,0,0,0,0,0,0,0,0,0
Tabrizicola,0,4,3,11,6,18,0,0,3,1,0,0,0,0,0,153,46,269,97,41,65,154,84,218,10,12,0,0,0,0,0,0,0,0,0,17,5,0,4,0,2,0,4,0,0,0,0,2,1,19,0,1,1,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13
Thiobacillus,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2,2,0,0,0,1,49,0,144,0,60,3,72,1,59,0,0,0,0,1,283,47,228,73,2,4,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,431,3337,7,0,61,0,37,5912,3,0,0,0,118,128,228,147,102,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,95
Undibacterium,0,2,261,221,1,1292,16,12,124,477,1,8,61,498,14,5,1,9,16,15,32,20,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,83,786,27,777,53,613,37,420,0,0,9,4,0,0,0,0,0,0,0,0,0,1
