SAMPLE ID,Sampling Date,Round,SAMPLE TYPE,TCM,BDCM,DBCM,TBM,DCIM,BCIM,DBIM,CDIM,BDIM,TIM,CP,"1,1-DCP","1,1,1-TCP",CAN,TCAN,DCAN,BAN,BCAN,IAN,DBAN,TCNM,DCAM,BCAM,TCAM,DBAM,MCAA,MBAA,DCAA,BCAA,TCAA,DBAA,BDCAA,CDBAA,TBAA,IAA,CIAA
9-2JAN24,,1,POE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8514,0.124,19.5081,0.3072,2.6016,2.3276,0.2985,0.101,0.5697,ND,0.3386
9-3JAN24,,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1MAY24,5/29/2024,2,DWDS,27.7928,18.2622,6.1382,8.7192,0.2825,9.1353,ND,ND,0.0195,0.2399,0.2749,0.1486,2.6198,0.3032,0.034,2.8659,0.3476,0.8668,0.0693,1.2343,0.0539,2.3489,0.5331,0.439,0.439,1.54,0.7191,16.7804,0.901,14.9872,5.8465,3.8858,0.4464,0.1137,0.0953,ND
2-2MAY24,5/29/2024,2,DWDS,19.933,13.615,4.3385,8.1223,0.1611,7.1938,ND,ND,0.0194,1.2677,0.359,0.216,1.8164,0.2717,0.0298,2.1558,0.3421,0.6649,0.0451,0.962,0.0373,2.0593,0.3821,0.3274,0.3274,1.9698,0.7308,15.9765,0.7992,14.3808,5.6707,4.4466,0.5305,0.1216,0.0995,ND
2-3MAY24,5/29/2024,2,DWDS,17.0988,12.5228,4.1076,7.5277,0.219,6.6505,ND,ND,0.0185,0.1808,0.3481,0.1983,1.6115,0.1872,0.0223,1.8442,0.3414,0.5667,0.0337,1.0641,0.0285,1.6029,0.3481,0.2611,0.2611,1.3023,0.6945,13.6224,0.6745,10.932,5.1302,3.0246,0.3387,0.1092,0.0971,ND
2-4MAY24,5/29/2024,2,DWDS,9.3724,6.3656,2.0456,16.8141,0.2405,4.3248,ND,ND,0.0071,0.1061,0.1568,0.0772,0.8496,0.1816,0.0129,0.9405,0.2685,0.308,0.0188,0.5418,0.0191,1.4784,0.3037,0.1374,0.1374,1.4565,0.6657,14.2138,0.6577,11.8531,5.1639,2.5592,0.2385,0.0777,0.1011,ND
2-5MAY24,5/29/2024,2,POE,18.8573,11.0929,3.7225,10.1823,0.2428,6.386,ND,ND,0.0229,0.1404,0.5907,0.3103,1.2974,0.1737,0.0087,1.4444,0.3807,0.2101,0.0229,0.5644,0.0199,1.6762,0.3699,0.1752,0.1752,1.0318,0.4777,10.5241,0.406,7.6672,4.0663,0.3529,0.0188,0.0822,0.0865,ND
2-6MAY24,5/29/2024,2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
